,ad,area,name,price,square,type
0,花果园T区两房 精装全齐 田园风 1800拎包入住,南明-花果园,花果园T1区,1800,77平米,2室1厅
1,会展城美的林城 2室1厅1卫 精装全齐2000每月 随时看房,观山湖-会展中心,美的林城时代南区,2000,64平米,2室1厅
2,又要装修好的，又要价格便宜的，这样的房子哪里找，告诉你这里有,观山湖-会展中心,美的林城时代南区,2500,89平米,2室2厅
3,急租龙贤两房精装修90平 拎包入住   2800/月 包物业,金阳-金阳,金阳世纪城龙贤苑北区,2800,90平米,2室2厅
4,金阳会展城B区精装4房家具全齐拎包入住交通生活便利,观山湖-会展城,中天会展城B区,4500,153平米,4室2厅
5,龙泉苑简装三房 拎包入小区设施完善 锦绣公园旁 交通方便,金阳-金阳,金阳世纪城龙泉苑东区,2500,121平米,3室2厅
6,美的林城时代洋房出租，办公居家都可以，户型好用，位置也好。,观山湖-会展中心,美的林城时代南区,4200,128平米,3室2厅
7,中铁B区 大三房精装 拎包入住,金阳-金阳,中铁逸都国际,2780,103平米,3室2厅
8,急租水东路上独栋商业楼80元/月/m,云岩-东山,中天未来方舟G4组团,100,3300平米,2室1厅
9,百花山路口两房   5楼有钥匙   可直接拎包入住,云岩-大营坡,百花住宅小区,1100,65平米,2室1厅
10,花果园S1区1室正规 进来看看不后悔哦,南明-花果园,花果园S1区,700,20平米,1室0厅
11,花果园购物中心豪华温馨公寓出租啦，家电家具全齐，独门独户哦,南明-花果园,花果园B南区,1600,41平米,1室1厅
12,周家寨村 厂房出租 542平 1100元/月 使用面积大,小河-小河,一鸣宽城国际,1100,542平米,1室1厅
13,省委宝山南路油榨街幸福家园精装三室空房办公装修仅3200,南明-油榨街,幸福家园,3200,140平米,3室2厅
14,"回家的诱惑,6000元/月5室2厅2卫1阳台,紧急出租",金阳-金阳,中铁逸都国际,6000,253平米,5室2厅
15,花果园T区酒店旁 精装2房出租 家电家具齐全 拎包入住,南明-花果园,花果园T1区,1800,68平米,2室2厅
16,北京路黔灵山公园省政府银海元隆4室2厅精装办公装修急租,云岩-黔灵公园,银海元隆广场,8000,178平米,4室2厅
17,会展城美的林城 3室2厅1卫 精装全齐3200每月 随时看房,观山湖-会展中心,美的林城时代南区,3200,85平米,3室2厅
18,会展城 美的林城4室2厅2卫精装全齐带车位房东急租5800,观山湖-会展中心,美的林城时代南区,5800,145平米,4室2厅
19,世纪城世纪金源购物中心对面，精装大四房带车位便宜出租,金阳-金阳,金阳世纪城龙泽苑南区,4500,167平米,4室2厅
20,二改三精装家具家电全齐，2100拎包入住.,金阳-金阳,金阳世纪城龙慧苑,2100,86平米,3室2厅
21,M区全新装修二房出租，全新家具家电。,南明-花果园,花果园M区,2200,65平米,2室2厅
22,花果园M区 精装全齐 三房一卫 家电全齐 低楼层 出入方便,南明-花果园,花果园M区,2500,90平米,3室2厅
23,急租大营坡沃尔玛楼上中大国际B区精装3室135平仅3500！,云岩-盐务街,中大国际广场,3500,135平米,3室1厅
24,花果园M区双子塔对面兰花广场旁3200元楼层适合教育培训,南明-花果园,花果园M区,3200,180平米,3室2厅
25,蓝波湾精装观景电梯房复式3房全电具拎包住仅6000临都司路,南明-都司路,蓝波湾花园,6000,150平米,3室2厅
26,"花果园M区两房。底价出租,温馨居家环境,手慢无",南明-花果园,花果园M区,1600,16平米,2室1厅
27,石林东路奥林花园两房出租 简单装修 随时看房,金阳-金阳,昆仑奥林花园,2000,80平米,2室2厅
